GEOID,B19013_001E,SUMLEVEL,ST,COUNTY,BLKGRP,COMPONENT,NAME,TRACT,,,
15000US060371134013,53438,150,6,37,3,0,Block Group 3, Census Tract 1134.01, Los Angeles County, California,113401
15000US060371134211,38324,150,6,37,1,0,Block Group 1, Census Tract 1134.21, Los Angeles County, California,113421
15000US060371134212,36927,150,6,37,2,0,Block Group 2, Census Tract 1134.21, Los Angeles County, California,113421
15000US060371134213,52688,150,6,37,3,0,Block Group 3, Census Tract 1134.21, Los Angeles County, California,113421
15000US060371134221,102946,150,6,37,1,0,Block Group 1, Census Tract 1134.22, Los Angeles County, California,113422
15000US060371134222,42439,150,6,37,2,0,Block Group 2, Census Tract 1134.22, Los Angeles County, California,113422
15000US060371134223,112590,150,6,37,3,0,Block Group 3, Census Tract 1134.22, Los Angeles County, California,113422
15000US060371134224,85725,150,6,37,4,0,Block Group 4, Census Tract 1134.22, Los Angeles County, California,113422
15000US060371151011,101719,150,6,37,1,0,Block Group 1, Census Tract 1151.01, Los Angeles County, California,115101
15000US060371151012,120170,150,6,37,2,0,Block Group 2, Census Tract 1151.01, Los Angeles County, California,115101
15000US060371151013,114783,150,6,37,3,0,Block Group 3, Census Tract 1151.01, Los Angeles County, California,115101
15000US060371151031,19519,150,6,37,1,0,Block Group 1, Census Tract 1151.03, Los Angeles County, California,115103
15000US060371151041,69205,150,6,37,1,0,Block Group 1, Census Tract 1151.04, Los Angeles County, California,115104
15000US060371151042,37883,150,6,37,2,0,Block Group 2, Census Tract 1151.04, Los Angeles County, California,115104
15000US060371152011,41856,150,6,37,1,0,Block Group 1, Census Tract 1152.01, Los Angeles County, California,115201
15000US060371152012,58824,150,6,37,2,0,Block Group 2, Census Tract 1152.01, Los Angeles County, California,115201
15000US060371152013,54964,150,6,37,3,0,Block Group 3, Census Tract 1152.01, Los Angeles County, California,115201
15000US060371152021,47778,150,6,37,1,0,Block Group 1, Census Tract 1152.02, Los Angeles County, California,115202
15000US060371152022,45250,150,6,37,2,0,Block Group 2, Census Tract 1152.02, Los Angeles County, California,115202
15000US060371152023,59010,150,6,37,3,0,Block Group 3, Census Tract 1152.02, Los Angeles County, California,115202
15000US060371153011,53487,150,6,37,1,0,Block Group 1, Census Tract 1153.01, Los Angeles County, California,115301
15000US060371153012,67059,150,6,37,2,0,Block Group 2, Census Tract 1153.01, Los Angeles County, California,115301
15000US060371153021,39432,150,6,37,1,0,Block Group 1, Census Tract 1153.02, Los Angeles County, California,115302
15000US060371154011,65551,150,6,37,1,0,Block Group 1, Census Tract 1154.01, Los Angeles County, California,115401
15000US060371154012,52683,150,6,37,2,0,Block Group 2, Census Tract 1154.01, Los Angeles County, California,115401
